0	0.0490075 	0.0219193 	-2.01088 	0.262299 	0.529812 	-0.011542 	
0.005	0.0490075 	0.0219193 	-2.01088 	0.262299 	0.529812 	-0.011542 	
0.01	0.0490075 	0.0219193 	-2.01088 	0.262299 	0.529812 	-0.011542 	
0.015	0.0490072 	0.0219118 	-2.01087 	0.262299 	0.529812 	-0.0115415 	
0.02	0.0490069 	0.0219053 	-2.01087 	0.262299 	0.529813 	-0.011541 	
0.025	0.0490066 	0.0218971 	-2.01086 	0.262299 	0.529814 	-0.0115405 	
0.03	0.0490063 	0.0218872 	-2.01085 	0.2623 	0.529814 	-0.0115398 	
0.035	0.0490058 	0.0218754 	-2.01084 	0.2623 	0.529815 	-0.011539 	
0.04	0.0490053 	0.0218618 	-2.01083 	0.2623 	0.529817 	-0.0115381 	
0.045	0.0490048 	0.0218464 	-2.01082 	0.2623 	0.529818 	-0.011537 	
0.05	0.0490041 	0.0218291 	-2.0108 	0.262301 	0.52982 	-0.0115358 	
0.055	0.0490034 	0.0218099 	-2.01078 	0.262301 	0.529821 	-0.0115345 	
0.06	0.0490027 	0.021789 	-2.01076 	0.262302 	0.529823 	-0.0115331 	
0.065	0.0490018 	0.0217662 	-2.01074 	0.262302 	0.529825 	-0.0115315 	
0.07	0.0490009 	0.0217415 	-2.01072 	0.262302 	0.529827 	-0.0115299 	
0.075	0.0489999 	0.021715 	-2.0107 	0.262303 	0.52983 	-0.0115281 	
0.08	0.0489989 	0.0216867 	-2.01067 	0.262304 	0.529832 	-0.0115261 	
0.085	0.0489978 	0.0216566 	-2.01065 	0.262304 	0.529835 	-0.0115241 	
0.09	0.0489966 	0.0216246 	-2.01062 	0.262305 	0.529838 	-0.0115219 	
0.095	0.0489954 	0.0215908 	-2.01059 	0.262305 	0.529841 	-0.0115196 	
0.1	0.0489941 	0.0215551 	-2.01055 	0.262306 	0.529844 	-0.0115172 	
0.105	0.0489927 	0.0215177 	-2.01052 	0.262307 	0.529847 	-0.0115146 	
0.11	0.0489911 	0.0214744 	-2.01048 	0.262308 	0.529851 	-0.0115117 	
0.115	0.0489896 	0.0214331 	-2.01044 	0.262308 	0.529855 	-0.0115089 	
0.12	0.0489881 	0.02139 	-2.01041 	0.262309 	0.529859 	-0.011506 	
0.125	0.0489864 	0.021345 	-2.01037 	0.26231 	0.529863 	-0.011503 	
0.13	0.0489847 	0.0212983 	-2.01032 	0.262311 	0.529867 	-0.0114998 	
0.135	0.048983 	0.0212497 	-2.01028 	0.262312 	0.529871 	-0.0114965 	
0.14	0.0489812 	0.0211993 	-2.01023 	0.262313 	0.529876 	-0.0114932 	
0.145	0.0489793 	0.0211471 	-2.01019 	0.262314 	0.52988 	-0.0114896 	
0.15	0.0489773 	0.021093 	-2.01014 	0.262315 	0.529885 	-0.011486 	
0.155	0.0489753 	0.0210372 	-2.01009 	0.262316 	0.52989 	-0.0114823 	
0.16	0.0490756 	0.0207551 	-2.01022 	0.262413 	0.531478 	-0.0108403 	
0.165	0.0490734 	0.0206956 	-2.01016 	0.262414 	0.531483 	-0.0108363 	
0.17	0.0490712 	0.0206343 	-2.01011 	0.262416 	0.531488 	-0.0108322 	
0.175	0.049069 	0.0205713 	-2.01005 	0.262417 	0.531494 	-0.010828 	
0.18	0.0490667 	0.0205065 	-2.00999 	0.262418 	0.531499 	-0.0108237 	
0.185	0.0490643 	0.0204398 	-2.00993 	0.262419 	0.531505 	-0.0108192 	
0.19	0.0490618 	0.0203714 	-2.00987 	0.262421 	0.531511 	-0.0108147 	
0.195	0.0490593 	0.0203012 	-2.00981 	0.262422 	0.531517 	-0.01081 	
0.2	0.0490568 	0.0202292 	-2.00974 	0.262423 	0.531524 	-0.0108053 	
0.205	0.0490542 	0.0201555 	-2.00968 	0.262425 	0.53153 	-0.0108004 	
0.21	0.0490515 	0.0200799 	-2.00961 	0.262426 	0.531537 	-0.0107954 	
0.215	0.0490488 	0.0200026 	-2.00954 	0.262428 	0.531543 	-0.0107903 	
0.22	0.0491478 	0.0197021 	-2.00965 	0.26253 	0.533109 	-0.0101547 	
0.225	0.049145 	0.0196212 	-2.00957 	0.262531 	0.533116 	-0.0101494 	
0.23	0.0491421 	0.0195386 	-2.0095 	0.262533 	0.533123 	-0.010144 	
0.235	0.0491391 	0.0194542 	-2.00942 	0.262534 	0.53313 	-0.0101385 	
0.24	0.0491361 	0.019368 	-2.00934 	0.262536 	0.533138 	-0.0101328 	
0.245	0.049133 	0.0192801 	-2.00926 	0.262538 	0.533145 	-0.0101271 	
0.25	0.0491299 	0.0191904 	-2.00918 	0.262539 	0.533153 	-0.0101213 	
0.255	0.0491267 	0.019099 	-2.0091 	0.262541 	0.533161 	-0.0101154 	
0.26	0.0491235 	0.0190059 	-2.00902 	0.262543 	0.533169 	-0.0101093 	
0.265	0.0491203 	0.018911 	-2.00893 	0.262545 	0.533177 	-0.0101032 	
0.27	0.0492259 	0.0185795 	-2.00903 	0.26266 	0.534837 	-0.0094272 	
0.275	0.0492225 	0.0184812 	-2.00894 	0.262661 	0.534845 	-0.00942087 	
0.28	0.0492191 	0.0183811 	-2.00885 	0.262663 	0.534854 	-0.00941444 	
0.285	0.0492156 	0.0182793 	-2.00876 	0.262665 	0.534862 	-0.00940793 	
0.29	0.0492121 	0.0181757 	-2.00867 	0.262667 	0.534871 	-0.00940132 	
0.295	0.0492085 	0.0180705 	-2.00857 	0.262669 	0.53488 	-0.00939462 	
0.3	0.0492049 	0.0179636 	-2.00847 	0.262671 	0.534889 	-0.00938782 	
0.305	0.0492012 	0.0178549 	-2.00838 	0.262673 	0.534898 	-0.00938094 	
0.31	0.0493023 	0.0175207 	-2.00845 	0.262789 	0.53648 	-0.00873437 	
0.315	0.0492986 	0.0174086 	-2.00835 	0.262791 	0.536489 	-0.0087273 	
0.32	0.0492948 	0.0172949 	-2.00825 	0.262793 	0.536499 	-0.00872015 	
0.325	0.0492909 	0.0171794 	-2.00814 	0.262795 	0.536508 	-0.00871291 	
0.33	0.049287 	0.0170623 	-2.00804 	0.262797 	0.536518 	-0.00870559 	
0.335	0.0492831 	0.0169435 	-2.00793 	0.262799 	0.536528 	-0.00869818 	
0.34	0.0492791 	0.0168231 	-2.00782 	0.262802 	0.536538 	-0.0086907 	
0.345	0.0493787 	0.0164815 	-2.00788 	0.262921 	0.538088 	-0.00805524 	
